Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
exceptiongroup,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
executing,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
expat,✅,❌,✅,❌,✅,❌,❌,❌,✅,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
facebook-business,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
fastavro,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
fastjsonschema,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
filelock,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌
fiona,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
flask,❌,❌,❌,✅,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
flask_cors,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
flatbuffers,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
fmt,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
folium,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
fontconfig,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
fonts-anaconda,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
fonts-conda-ecosystem,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
fonts-conda-forge,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
fonttools,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
font-ttf-dejavu-sans-mono,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
font-ttf-inconsolata,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
font-ttf-source-code-pro,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
font-ttf-ubuntu,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
fqdn,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌
freetype,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
freexl,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
fribidi,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
frozendict,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
frozenlist,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
fsspec,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gast,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
gdal,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gdk-pixbuf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
geopandas,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
geopandas-base,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
geos,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
geotiff,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gettext,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
gflags,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
ghp-import,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
giflib,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
glib,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
glib-tools,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
glog,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gmp,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gobject-introspection,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
